year,month,period,value,footnotes,latest
2023,January,M01,3.4,[{}],False
2023,February,M02,3.6,[{}],False
2023,March,M03,3.5,[{}],False
2023,April,M04,3.4,[{}],False
2023,May,M05,3.7,[{}],False
2023,June,M06,3.6,[{}],False
2023,July,M07,3.5,[{}],False
2023,August,M08,3.8,[{}],False
2023,September,M09,3.8,[{}],False
2023,October,M10,3.8,[{}],False
2023,November,M11,3.7,[{}],False
2023,December,M12,3.7,[{}],False
2024,January,M01,3.7,[{}],False
2024,February,M02,3.9,[{}],False
2024,March,M03,3.8,[{}],False
2024,April,M04,3.9,[{}],False
2024,May,M05,4.0,[{}],False
2024,June,M06,4.1,[{}],False
2024,July,M07,4.3,[{}],False
2024,August,M08,4.2,[{}],False
2024,September,M09,4.1,[{}],False
2024,October,M10,4.1,[{}],False
2024,November,M11,4.2,[{}],True
